Afrikaans - South Africa;436;1078;;Maandag;Dinsdag;Woensdag;Donderdag;Vrydag;Saterdag;Sondag;;Januarie;Februarie;Maart;April;Mei;Junie;Julie;Augustus;September;Oktober;November;Desember
Spanish - Bolivia;400a;16394;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Chile;340a;13322;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Colombia;240a;9226;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Costa Rica;140a;5130;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Dominican Republic;1c0a;7178;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Ecuador;300a;12298;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - El Salvador;440a;17418;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Guatemala;100a;4106;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Honduras;480a;18442;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Latin America;580a;22538;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Mexico;080a;2058;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Nicaragua;4c0a;19466;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Panama;180a;6154;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Paraguay;3c0a;15370;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Peru;280a;10250;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Setiembre;Octubre;Noviembre;Diciembre
Spanish - Puerto Rico;500a;20490;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - United States;540a;21514;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Spanish - Uruguay;380a;14346;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Setiembre;Octubre;Noviembre;Diciembre
Spanish - Venezuela;200a;8202;;lunes;martes;miércoles;jueves;viernes;sábado;domingo;;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
Sutu;430;1072;;Mmantaha;Labobedi;Laboraru;Labone;Labohlane;Moqebelo;Sontaha;;Phesekgong;Hlakola;Hlakubele;Mmese;Motsheanong;Phupjane;Phupu;Phata;Leotshe;Mphalane;Pundungwane;Tshitwe
